Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 18:27:26.008463+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000000
MEASUREMENT, PID, 11064
SP2B, START, 2024-01-26 18:27:26.018151+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250000638
SP2B, FILESIZE, 27108719KB
SP2B, END, 2024-01-26 18:48:06.966701+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:20:40.948
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 18:48:06.977831+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250mr2/sp250mr2.n3
RDF2RAPSQL, PID, 11188
RDF2PG, START, 2024-01-26 18:48:06.983288+00
RDF2PG, END, 2024-01-26 19:12:30.079091+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:24:23.95
EDGEPARTITIONING, START, 2024-01-26 19:12:30.214057+00
EDGEPARTITIONING, END, 2024-01-26 19:13:14.629746+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:44.415
DBIMPORT-NODES, START, 2024-01-26 19:13:14.635072+00
DBIMPORT-NODES, END, 2024-01-26 19:28:41.984281+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:15:27.349
DBIMPORT-EDGES, START, 2024-01-26 19:28:41.989746+00
DBIMPORT-EDGES, END, 2024-01-26 19:44:37.886302+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:15:55.896
RDF2RAPSQL, END, 2024-01-26 19:44:37.891980+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:56:30.914
WRITECYPHER, RAPSQLTRANSPILER, cpo2
WRITECYPHER, START, 2024-01-26 19:44:37.900682+00
WRITECYPHER, END, 2024-01-26 19:44:38.774661+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.873
RAPSQLTRIPLES-CNT, START, 2024-01-26 19:44:43.783824+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 19:51:21.598421+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:6:37.814
RUNQUERIES, START, 2024-01-26 19:51:26.608245+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 19:51:29.618402+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 19:53:44.564299+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:2:14.945
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 19:53:47.572098+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 20:24:03.300921+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:15.728
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 20:24:06.410171+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 20:32:31.012003+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:24.601
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 20:32:34.020278+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 20:40:15.639256+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:41.618
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 20:40:18.646853+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 20:48:00.443273+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.796
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-26 20:48:03.450903+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-26 21:18:32.172911+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:28.722
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-26 21:18:35.180669+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-26 21:48:58.609310+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:23.428
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-26 21:49:01.617159+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-26 22:09:53.367253+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:51.750
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-26 22:09:56.378764+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-26 22:40:26.457053+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:30.78
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-26 22:40:29.464959+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-26 22:44:09.173638+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:3:39.708
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-26 22:44:12.181325+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-26 23:14:44.044248+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:30:31.862
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-26 23:14:47.052005+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-26 23:45:02.600723+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:30:15.548
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-26 23:45:05.608561+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-26 23:50:12.368093+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:6.759
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-26 23:50:15.375872+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-26 23:51:18.775093+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:3.399
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-26 23:51:21.782897+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-27 00:21:29.568567+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:30:7.785
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-27 00:21:32.576233+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-27 00:39:40.934656+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:8.358
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-27 00:39:43.942456+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-27 00:40:36.808233+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.865
QUERY-PENALTY | loop-1 | b2-q2.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | o15-q12a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | l12-q9.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | k11-q8.sql, PENALTY-TIME, 3600000.000 ms
QUERY-EXEC | loop-2 | a1-q1, START, 2024-01-27 00:40:41.054730+00
QUERY-EXEC | loop-2 | a1-q1, END, 2024-01-27 00:44:49.180410+00
QUERY-EXEC | loop-2 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:8.125
QUERY-EXEC | loop-2 | c3-q3a, START, 2024-01-27 00:44:52.188104+00
QUERY-EXEC | loop-2 | c3-q3a, END, 2024-01-27 00:53:20.299724+00
QUERY-EXEC | loop-2 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:28.111
QUERY-EXEC | loop-2 | d4-q3b, START, 2024-01-27 00:53:23.307625+00
QUERY-EXEC | loop-2 | d4-q3b, END, 2024-01-27 01:01:05.156522+00
QUERY-EXEC | loop-2 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:41.848
QUERY-EXEC | loop-2 | e5-q3c, START, 2024-01-27 01:01:08.164299+00
QUERY-EXEC | loop-2 | e5-q3c, END, 2024-01-27 01:08:49.792819+00
QUERY-EXEC | loop-2 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.628
QUERY-EXEC | loop-2 | h8-q5b, START, 2024-01-27 01:08:52.801084+00
QUERY-EXEC | loop-2 | h8-q5b, END, 2024-01-27 01:29:27.127775+00
QUERY-EXEC | loop-2 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:34.326
QUERY-EXEC | loop-2 | m13-q10, START, 2024-01-27 01:29:30.135617+00
QUERY-EXEC | loop-2 | m13-q10, END, 2024-01-27 01:34:48.837315+00
QUERY-EXEC | loop-2 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:18.701
QUERY-EXEC | loop-2 | n14-q11, START, 2024-01-27 01:34:51.845252+00
QUERY-EXEC | loop-2 | n14-q11, END, 2024-01-27 01:35:55.788340+00
QUERY-EXEC | loop-2 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:3.943
QUERY-EXEC | loop-2 | p16-q12b, START, 2024-01-27 01:35:58.796091+00
QUERY-EXEC | loop-2 | p16-q12b, END, 2024-01-27 01:53:58.457535+00
QUERY-EXEC | loop-2 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:59.661
QUERY-EXEC | loop-2 | q17-q12c, START, 2024-01-27 01:54:01.465196+00
QUERY-EXEC | loop-2 | q17-q12c, END, 2024-01-27 01:54:54.264653+00
QUERY-EXEC | loop-2 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.799
QUERY-SKIP | loop-2 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-2 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-3 | a1-q1, START, 2024-01-27 01:54:58.430290+00
QUERY-EXEC | loop-3 | a1-q1, END, 2024-01-27 01:59:16.458148+00
QUERY-EXEC | loop-3 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:18.27
QUERY-EXEC | loop-3 | c3-q3a, START, 2024-01-27 01:59:19.465878+00
QUERY-EXEC | loop-3 | c3-q3a, END, 2024-01-27 02:07:46.014711+00
QUERY-EXEC | loop-3 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:26.548
QUERY-EXEC | loop-3 | d4-q3b, START, 2024-01-27 02:07:49.022432+00
QUERY-EXEC | loop-3 | d4-q3b, END, 2024-01-27 02:15:31.781867+00
QUERY-EXEC | loop-3 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.759
QUERY-EXEC | loop-3 | e5-q3c, START, 2024-01-27 02:15:34.789814+00
QUERY-EXEC | loop-3 | e5-q3c, END, 2024-01-27 02:23:16.641863+00
QUERY-EXEC | loop-3 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.852
QUERY-EXEC | loop-3 | h8-q5b, START, 2024-01-27 02:23:19.649649+00
QUERY-EXEC | loop-3 | h8-q5b, END, 2024-01-27 02:43:52.747918+00
QUERY-EXEC | loop-3 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:33.98
QUERY-EXEC | loop-3 | m13-q10, START, 2024-01-27 02:43:55.756262+00
QUERY-EXEC | loop-3 | m13-q10, END, 2024-01-27 02:49:09.186457+00
QUERY-EXEC | loop-3 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:13.430
QUERY-EXEC | loop-3 | n14-q11, START, 2024-01-27 02:49:12.194275+00
QUERY-EXEC | loop-3 | n14-q11, END, 2024-01-27 02:50:15.236553+00
QUERY-EXEC | loop-3 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:3.42
QUERY-EXEC | loop-3 | p16-q12b, START, 2024-01-27 02:50:18.244430+00
QUERY-EXEC | loop-3 | p16-q12b, END, 2024-01-27 03:08:13.770282+00
QUERY-EXEC | loop-3 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:55.525
QUERY-EXEC | loop-3 | q17-q12c, START, 2024-01-27 03:08:16.778260+00
QUERY-EXEC | loop-3 | q17-q12c, END, 2024-01-27 03:09:09.708076+00
QUERY-EXEC | loop-3 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.929
QUERY-SKIP | loop-3 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-3 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-4 | a1-q1, START, 2024-01-27 03:09:13.192650+00
QUERY-EXEC | loop-4 | a1-q1, END, 2024-01-27 03:13:29.822983+00
QUERY-EXEC | loop-4 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:16.630
QUERY-EXEC | loop-4 | c3-q3a, START, 2024-01-27 03:13:32.830695+00
QUERY-EXEC | loop-4 | c3-q3a, END, 2024-01-27 03:21:59.483595+00
QUERY-EXEC | loop-4 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:26.652
QUERY-EXEC | loop-4 | d4-q3b, START, 2024-01-27 03:22:02.491685+00
QUERY-EXEC | loop-4 | d4-q3b, END, 2024-01-27 03:29:46.309759+00
QUERY-EXEC | loop-4 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:43.818
QUERY-EXEC | loop-4 | e5-q3c, START, 2024-01-27 03:29:49.317446+00
QUERY-EXEC | loop-4 | e5-q3c, END, 2024-01-27 03:37:33.001670+00
QUERY-EXEC | loop-4 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:43.684
QUERY-EXEC | loop-4 | h8-q5b, START, 2024-01-27 03:37:36.009283+00
QUERY-EXEC | loop-4 | h8-q5b, END, 2024-01-27 03:58:07.098689+00
QUERY-EXEC | loop-4 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:31.89
QUERY-EXEC | loop-4 | m13-q10, START, 2024-01-27 03:58:10.106383+00
QUERY-EXEC | loop-4 | m13-q10, END, 2024-01-27 04:03:19.259714+00
QUERY-EXEC | loop-4 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:9.153
QUERY-EXEC | loop-4 | n14-q11, START, 2024-01-27 04:03:22.267338+00
QUERY-EXEC | loop-4 | n14-q11, END, 2024-01-27 04:04:25.736904+00
