Process, Parameter, Value
MEASUREMENT, START, 2024-01-27 11:11:56.303308+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000000
MEASUREMENT, PID, 11006
SP2B, START, 2024-01-27 11:11:56.312941+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250000638
SP2B, FILESIZE, 27108719KB
SP2B, END, 2024-01-27 11:33:33.775152+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:21:37.462
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-27 11:33:33.786568+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250my1/sp250my1.n3
RDF2RAPSQL, PID, 11141
RDF2PG, START, 2024-01-27 11:33:33.792132+00
RDF2PG, END, 2024-01-27 11:55:15.838162+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:21:42.46
EDGEPARTITIONING, START, 2024-01-27 11:55:15.966600+00
EDGEPARTITIONING, END, 2024-01-27 11:55:58.825381+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:42.858
DBIMPORT-NODES, START, 2024-01-27 11:55:58.830581+00
DBIMPORT-NODES, END, 2024-01-27 12:11:35.084515+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:15:36.253
DBIMPORT-EDGES, START, 2024-01-27 12:11:35.089942+00
DBIMPORT-EDGES, END, 2024-01-27 12:27:59.482577+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:16:24.392
RDF2RAPSQL, END, 2024-01-27 12:27:59.488340+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:54:25.701
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-27 12:27:59.497016+00
WRITECYPHER, END, 2024-01-27 12:28:00.420762+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.923
RAPSQLTRIPLES-CNT, START, 2024-01-27 12:28:05.429872+00
RAPSQLTRIPLES-CNT, END, 2024-01-27 12:31:30.397617+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:3:24.967
RUNQUERIES, START, 2024-01-27 12:31:35.406969+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-27 12:31:38.434716+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-27 12:36:58.469419+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:5:20.34
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-27 12:37:01.477363+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-27 13:07:18.689085+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:30:17.211
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-27 13:07:21.728344+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-27 13:15:46.863452+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.135
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-27 13:15:49.871244+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-27 13:23:28.128719+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:38.257
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-27 13:23:31.136526+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-27 13:31:09.379292+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:38.242
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-27 13:31:12.387125+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-27 14:01:36.857854+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:24.470
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-27 14:01:39.865762+00
